timestamp,rv_ratio,iv_ratio,full_score,rv_only_score,delta_volatility_score,full_width,rv_only_width,delta_grid_width,full_mode,rv_only_mode,full_volatility_state,rv_only_volatility_state,delta_capital,full_capital,rv_only_capital,delta_level_count,full_level_count,rv_only_level_count
2026-08-24T04:00:11.875Z,2.7549066097441943,0.9993580003851998,2.3160194574044457,2.7549066097441943,-0.4388871523397486,0.03,0.03,0.0,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T04:00:16.873Z,2.8002063390673344,0.9993580003851998,2.349994254396801,2.800206339067335,-0.45021208467053375,0.03,0.03,0.0,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T04:00:21.870Z,2.80200323518955,0.9993580003851998,2.3513419264884625,2.80200323518955,-0.45066130870108756,0.03,0.03,0.0,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T04:00:26.870Z,2.664077299888159,0.9994649430699427,2.247924210683605,2.664077299888159,-0.41615308920455396,0.03,0.03,0.0,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T04:00:31.870Z,2.810970615136286,0.9979239791113775,2.357708956130059,2.810970615136286,-0.4532616590062273,0.03,0.03,0.0,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T04:00:36.869Z,2.748344870317721,0.9979239791113775,2.310739647516135,2.748344870317721,-0.4376052228015861,0.03,0.03,0.0,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T04:00:41.869Z,2.8334724808606975,0.9980200986740012,2.3746093853140233,2.8334724808606975,-0.45886309554667415,0.03,0.03,0.0,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T04:00:46.870Z,2.8601508467238195,0.9982017083770418,2.3946635621371253,2.8601508467238195,-0.4654872845866942,0.03,0.03,0.0,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T04:00:51.870Z,3.1010015546425485,0.998244524844255,2.575312297192975,3.1010015546425485,-0.5256892574495735,0.03,0.0,0.03,defensive,pause,high,high,500.0,500.0,0.0,6,6,0
2026-08-24T04:00:56.871Z,3.107895413306351,0.9982873413114683,2.58049339530763,3.1078954133063506,-0.5274020179987207,0.03,0.0,0.03,defensive,pause,high,high,500.0,500.0,0.0,6,6,0
