threshold_seconds,strategy,fill_model,mode_time_seconds,mode_time_pct,average_grid_width_pct,defensive_duration_seconds,defensive_time_pct,ticks,fresh_iv_frames,stale_iv_frames,missing_iv_frames,rv_fallback_frames,entry_fills,completed_cycles,total_pnl,net_realized_pnl,unrealized_pnl_end,maximum_drawdown
30,iv_adaptive_grid,conservative_cross_through,"{""defensive"": 2735.7369995117188, ""long_bias"": 80.05500030517578, ""normal"": 16494.52799987793, ""pause"": 370.0759994983673, ""short_bias"": 405.10100078582764}","{""defensive"": 13.620459575954612, ""long_bias"": 0.3985711695620945, ""normal"": 82.12158255230209, ""pause"": 1.8425035711028406, ""short_bias"": 2.0168831310783637}",0.011152472697132753,2735.7369995117188,13.620459575954612,4017,4016,0,1,0,21,17,-23.48627,7.83999,-31.32626,40.77134
60,iv_adaptive_grid,conservative_cross_through,"{""defensive"": 2735.7369995117188, ""long_bias"": 80.05500030517578, ""normal"": 16494.52799987793, ""pause"": 370.0759994983673, ""short_bias"": 405.10100078582764}","{""defensive"": 13.620459575954612, ""long_bias"": 0.3985711695620945, ""normal"": 82.12158255230209, ""pause"": 1.8425035711028406, ""short_bias"": 2.0168831310783637}",0.011152472697132753,2735.7369995117188,13.620459575954612,4017,4016,0,1,0,21,17,-23.48627,7.83999,-31.32626,40.77134
120,iv_adaptive_grid,conservative_cross_through,"{""defensive"": 2735.7369995117188, ""long_bias"": 80.05500030517578, ""normal"": 16494.52799987793, ""pause"": 370.0759994983673, ""short_bias"": 405.10100078582764}","{""defensive"": 13.620459575954612, ""long_bias"": 0.3985711695620945, ""normal"": 82.12158255230209, ""pause"": 1.8425035711028406, ""short_bias"": 2.0168831310783637}",0.011152472697132753,2735.7369995117188,13.620459575954612,4017,4016,0,1,0,21,17,-23.48627,7.83999,-31.32626,40.77134
300,iv_adaptive_grid,conservative_cross_through,"{""defensive"": 2735.7369995117188, ""long_bias"": 80.05500030517578, ""normal"": 16494.52799987793, ""pause"": 370.0759994983673, ""short_bias"": 405.10100078582764}","{""defensive"": 13.620459575954612, ""long_bias"": 0.3985711695620945, ""normal"": 82.12158255230209, ""pause"": 1.8425035711028406, ""short_bias"": 2.0168831310783637}",0.011152472697132753,2735.7369995117188,13.620459575954612,4017,4016,0,1,0,21,17,-23.48627,7.83999,-31.32626,40.77134
