timestamp,iv_minus_rv_pnl,iv_minus_static_pnl,iv_minus_rv_inventory,iv_minus_static_inventory,iv_minus_rv_drawdown,iv_minus_static_drawdown
2026-08-24T04:00:11.875Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:00:16.873Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:00:21.870Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:00:26.870Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:00:31.870Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:00:36.869Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:00:41.869Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:00:46.870Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:00:51.870Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:00:56.871Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:01:01.872Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:01:06.873Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:01:11.873Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:01:16.874Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:01:21.875Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:01:26.876Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:01:31.877Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:01:36.878Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:01:41.879Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:01:46.881Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:01:51.881Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:01:56.882Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:02:01.883Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:02:06.884Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:02:11.884Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:02:16.886Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:02:21.887Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:02:26.888Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:02:31.889Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:02:36.890Z,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24T04:02:41.891Z,0.0,0.0,0.0,0.0,0.0,0.0
