strategy,fill_model,realized_grid_capture_gross,fees,realized_pnl_after_fees,open_position_unrealized_pnl,ending_inventory_base,ending_mark_price,total_pnl,formula,formula_error,accounting_formula_pass,average_entry_cost,liquidation_at_end_hypothetical_total_pnl
iv_adaptive_grid,conservative_cross_through,7.83999,0.0,7.83999,-31.32626,-0.0315,77457.5,-23.48627,total_pnl = realized_grid_capture_gross - fees + open_position_unrealized_pnl,0.0,True,77379.78252654717325020715521,-23.50201999999999999999999962
iv_adaptive_grid,touch_optimistic,6.98228,0.0,6.98228,-31.32626,-0.0315,77457.5,-24.343980000000002,total_pnl = realized_grid_capture_gross - fees + open_position_unrealized_pnl,0.0,True,77379.35073654190974448684238,-24.35973000000000000000000013
rv_only_adaptive_grid,conservative_cross_through,6.09257,0.0,6.09257,-31.37378,-0.0315,77457.5,-25.28121,total_pnl = realized_grid_capture_gross - fees + open_position_unrealized_pnl,0.0,True,77366.06367151059881532418771,-25.29695999999999999999999926
rv_only_adaptive_grid,touch_optimistic,6.09257,0.0,6.09257,-31.37378,-0.0315,77457.5,-25.28121,total_pnl = realized_grid_capture_gross - fees + open_position_unrealized_pnl,0.0,True,77366.06367151059881532418771,-25.29695999999999999999999926
static_geometric_grid,conservative_cross_through,5.53705,0.0,5.53705,-3.4748,0.0119,77457.5,2.0622499999999997,total_pnl = realized_grid_capture_gross - fees + open_position_unrealized_pnl,0.0,True,77091.9,2.056299999999999999999999968
static_geometric_grid,touch_optimistic,5.53705,0.0,5.53705,-3.4748,0.0119,77457.5,2.0622499999999997,total_pnl = realized_grid_capture_gross - fees + open_position_unrealized_pnl,0.0,True,77091.9,2.056299999999999999999999968
