trading_pair,last_correlation,last_beta,last_transmission,mean_correlation,mean_beta,mean_transmission,mean_residual_volatility,observations,relationship_valid
BTC-USDC,1.0,1.0,1.0,1.0,1.0,1.0,,0,True
ETH-USDC,0.8424127368165728,0.7458990155658781,0.6283548310916388,0.8173389725065863,0.8034843702672438,0.5419400474492605,0.000324949706310117,139,True
SOL-USDC,0.7063662621072867,1.2675650379734107,0.895365177851159,0.5873684986653143,1.0298705016597016,0.7415067790674742,0.0009470605134050417,139,True
HYPE-USDC,-0.07696582553859276,-0.18031155022714854,0.01387782731737592,-0.10286150411321159,-0.2961414073432134,0.010737106672274569,0.001628115456679187,139,True
