scenario,trading_pair,mean_volatility_score,mean_grid_width_pct,portfolio_pnl,portfolio_drawdown,risk_blocks
shared_btc_iv_with_portfolio_governor,BTC-USDC,0.9786598643317033,0.009634545695359107,-0.07298593385536023,0.26109999027049824,3375
shared_btc_iv_with_portfolio_governor,ETH-USDC,0.7904979526637275,0.00929204625904668,-0.07298593385536023,0.26109999027049824,3375
shared_btc_iv_with_portfolio_governor,SOL-USDC,0.8750683972143862,0.009099589422126901,-0.07298593385536023,0.26109999027049824,3375
shared_btc_iv_with_portfolio_governor,HYPE-USDC,0.6729068828440106,0.006594440371510871,-0.07298593385536023,0.26109999027049824,3375
local_rv_only_with_portfolio_governor,BTC-USDC,0.9786598643317033,0.009634545695359107,-0.10811359602224258,0.26109999027049824,3365
local_rv_only_with_portfolio_governor,ETH-USDC,0.951908225654142,0.009911292737407056,-0.10811359602224258,0.26109999027049824,3365
local_rv_only_with_portfolio_governor,SOL-USDC,0.9942210022231701,0.009598590369063959,-0.10811359602224258,0.26109999027049824,3365
local_rv_only_with_portfolio_governor,HYPE-USDC,0.9964758698425431,0.008612398589353408,-0.10811359602224258,0.26109999027049824,3365
