duration_seconds,record_percentage,records,source,time_percentage,value
4031.030000925064,15.204003079291764,790,volatility_state,15.258600314454526,high
22387.0549993515,84.79599692070823,4406,volatility_state,84.74139968554547,normal
3365.925000667572,12.952270977675134,673,direction_state,12.740987852194188,bearish
880.2530002593994,3.387220939183987,176,direction_state,3.3320091151579843,bullish
22171.906999349594,83.66050808314087,4347,direction_state,83.92700303264783,neutral
26413.077000141144,99.98075442648191,5195,inventory_state,99.98104328858291,neutral
5.008000135421753,0.01924557351809084,1,inventory_state,0.018956711417081613,unknown
2520.6349999904633,13.778020776380536,504,mode_distribution,13.172881716117276,defensive
80.05500030517578,0.4373974849644614,16,mode_distribution,0.4183688038164205,long_bias
15594.11799955368,80.64516129032258,2950,mode_distribution,81.49512796421267,normal
435.08999943733215,2.3783488244942594,87,mode_distribution,2.2737877949307195,pause
505.1330008506775,2.761071623838163,101,mode_distribution,2.6398337209229097,short_bias
